Username,Date,Comment
calvert_98,2023-11-02,"Performance:Fast, high performance
Quality:Best

Received about 3 days ago. Smooth surface  on the sides and cover; not heavy compare to other iPad model. The blue color is superb amazing, like it so much just like an iPad Air. Thank you seller for the free gift and hope it can last longer and be useful in my future projects😍👍🏻."
audreykyw,2024-01-27,"Good quality thank you seller 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
My sister is happy and satisfied with it 🙏🏻
Trustable seller 
Fast delivery 
Safely arrived … 
Perfect timing before raya 🔥🔥🔥🔥🔥🔥🔥"
h*****a,2023-09-06,"Quality:very good
Performance:excellent

Ipad 10th Generation is similar design like ipad air , so far so good to use it. Nice. Thanks seller for super fast delivery to Sarawak!!"
u*****6,2023-11-17,"Performance:good
Quality:good

Beli masa sale 11.11 harga murah sikit dr pasaran..brg cukup semua termasuk charger dan sampai dgn selamat dlm masa 5 hari..tq trusted seller"
i*****3,2024-02-04,"Performance:good
Quality:good

-1 star because i saw most reviews received theirs within 2-3 days at most but i had to wait a week to get mine, and the courier service wasnt helping at all. at the end i had to pick up from the warehouse myself when they failed to deliver within the promised date. all in all, what more can i say about apple product other than it being amazing. been using their products for years and finally decided to add ipad on my collection. switch offers the cheapest price compared to other resellers"
h*****h,2024-03-11,"Quality:Apple quality
Performance:good

Fast delivery. Bought cheaper with vouchers via shopee than physical store. 100% legit. Been using it for few weeks now for light games and videos. My second ipad purchase after mini, but mini was too small."
e*****n,2024-01-03,"Performance:100/100
Quality:GOOD AS IT IS APPLE PRODUCT NO DOUBT

great packaging no dent at all because they provide the fragile sticker. GOT it only rm1758 after deduct the tiktok shop discount. affordable price compare to apple edu. the pink colour is very nice. seller is nice by answering all of my question and ship the order as soon as possible.💋5 stars 💌💌"
g*****n,2023-02-02,"Performance:Just received. The audio is good. However, i could not comment on the speed since i havent try with games or graphic media
Quality:packaging is good. Wrapped in 3 layers of bubble wrap. Typing experience, so far so good. The touch id is easy to set up and it recognise my finger print easily. I choose this ipad as replacement of laptop to ease my work during travelling. Might be not as good as ipad pro but ot serve the purpose."
a*****a,2023-08-10,"This is my second purchase from switch online, before I bought macbook, but this is the 1st time I bought from their shopee acc. Packaging wise is okay, only single layer of bubble wrap, but the packaging is fit enough, so the ipad wont shake around during transit. 

Ipad works just fine, bee thinking whether to buy android tab or ipad, hence I went for ipad bcuz my gadgets are apple stuffs. Hence my advice if u use apple stuffs go for ipad. 

Been eyeing this pink ipad, and finally managed to buy it during 8.8 sale. Worth it!👍🏻"
mdshuq,2023-11-16,"Performance:superb
Quality:good

Bought during promo 11.11, cheap sikit la belikan untuk adik.. so far ok my first thought takde box.. act they put in a box with proper wrap so no issue with packaging

All perfect no isssue thanks seller"
b*****m,2023-07-30,"Quality:good
Performance:excellent

Item beli time sales
Murah byk kot beza 200
Jadilahh ipad pun besar
Nanti nk kluar yg baru plakkan
Tips nk beli murah tunggu lah bln 7,8 sbb time tu nk kluar dah model baru 🤣🤣🤣"
b*****1,2022-12-09,"Performance:what do you expect from apple products ? high class
Quality:great as it should

first of all the ipad itself is sooooo beautiful… and the delivery was fast like it only took one day"
a*****d,2023-09-12,"Performance:apple what to expect, mantop
Quality:ofcourse the best for now!

got it with great deals, and shipping took only 1 days, nak ship out je amik masa sikit, but just fine tho. anyway, great service! Thank you seller"
y*****9,2023-10-18,"Performance:very good

Just tried to set up.. performance good..
Its the original apple product no doubt..
Product arrived in good condition.
Well wrapped.
Fast delivery.. i ordered sunday, wednesday already got the parcel.
Recommended seller."
n*****a,2024-01-31,"Quality:good
Performance:good

Ipad sampai lepas seminggu macam tu tapi semua dalam keadaan baik kotak balut pun kemas takdak kemek so far pakai sebulan ni takdak effect rosak apaapa so boleh percaya beli dari shopee(official)"
s*****e,2024-02-25,"Received in a good condition. Packaging is so secured, delivery was fast😊 Bought it only for rm1589 during sales 🤩 good product for money 🫡"
afdhalat,2024-02-04,"Quality:New from the box
Performance:Perfect

Same as the one bought at Switch Store but with discount. NEAT bubble wrap. Superfast delivery. IPAD purchased today and arrived the next day."
a*****3,2023-01-19,"Quality:nice, upgraded from 9th gen design
Performance:good for daily use

very easy with in-store pickup! the ipad itself is very beautiful, let the picture itself do the justice! for me, the performance is good enough for a daily user of a student like me…the biggest turning point is the design-wise (borderless without home button) and the landscape camera which are the plus points to me! keep it up switch, always love your service🫶🏻"
m*****4,2023-12-10,Penghantaran yg selamat walaupun ke sarawak. Harga yg berpatutan sbb byk dpt diskaun time beli haritu. thank you so much ❤️ and i really love it. berbaloi beli time harga murah.
g*****i,2024-02-15,"Quality:good
Performance:perfect

Thank you so much seller for excellent services. The delivery the packaging the quality of product was tiptop!! However when I brought this ipad to install the tempered glass, the worker said the screen has small dot at the upper side near the front camera. So, not sure it happen during the installation or during the delivery from seller. But it still okay for me to used the ipad. Hopefully, after this seller more alert on the product before sending to customer. 4 ⭐️⭐️⭐️⭐️ from me. Loveee"
zmismail,2023-11-01,"Quality:Amazing product!
Performance:As you would know, the 10th Gen iPad is amazing in terms of performance.

Well wrapped and packed. You don’t have to worry about your device getting destroyed as the courier handles it. The team also helps to solve any issue with your device."
lavanesh90,2024-01-18,Bought as a gift for someone during cny sale so it was discounted and had really good applicable vouchers.. Trusted seller who was very kind to cater to my request of adding a note.. Fast chat response and fast shipping.. The receiver is happy with it..
veenaalnysticha,2024-01-27,"OMG OMG OMG TRUSTED GO BUY IT!! THE COLOUR IS REALLY PRETTY DONT REGRET!! I ORDER IT ON TUESDAY AND ARRIVED ON FRIDAY TO SABAH?!! HOW FAST IS THAT!! TRUSTED SELLER THANKYOU SO MUCH , NO DAMAGE RECEIVED AND PACKAGING SECURED. LURVEEEEEE THANKYOU SELLER"
vexca,2023-08-17,"Performance:Good and smooth
Quality:ori from apple

Buy during 8.8 sales with so much cheaper price.
Very worth it. They posted it to Sarawak in good condition."
f*****0,2023-02-21,"Performance:Excellent
Quality:Very good

No doubt, apple product is the most promising, high quality and sleek, that's why a lot of people wanted to buy it"
sarahaeeeemin,2024-01-31,"Quality:I love it

Seller is very responsive and friendly..my iPad came smoothly..they even put fragile sticker to …not even a single dent on my box..totally satisfied 🌟🌟🌟🌟🌟 thanks sellerrr"
itsdhio,2023-07-17,"took time to ship because of public holiday and weekend. once it shipped it only took 2 days to arrive. my ipad safely arrived, the box have no scratches whatsoever… i’m satisfied with my purchase 👍🏻"
sithamparamt,2023-06-09,"Quality:Usual Apple quality
Performance:Good

Expected Apple product quality and with the normal premium price tag but with a good discount because of the 6.6 Sale"
s*****f,2024-01-03,Fast delivery and item received in good conditions and good packaging as well. Worth buying and will definitely buy from this seller again.
eylalalala,2024-01-04,"Quality:mantap
Performance:bagus macam biasa

Saya tidak pernah segembira ini. Ini adalah ipad pertama saya. Saya tidak menyangka dapat juga memiliki ipad. Saya adalah orang susah. Saya ada yang pertama memiliki ipad didalam keluarga saya. Saya cukup suka dengan feature ipad yang laju. saya dapat mengunakkan untuk menyalin kerja dengan mudah tanpa perlu membawa laptop. Saya masih tidak mempunyai apple pencil. Doakan saya dimurahkan rezeki dapat memilik apple pencil first gen"
chst2002,2023-12-30,"Quality:Good
Performance:Good

Speedy delivery and a happy purchase.
Best value on the market."
nour81,2024-02-17,"Quality:very good
Performance:superrr

Thanks
Everything very good
New set
Delivery juga pantas"
rdamreztec,2023-12-28,"Performance:Very Good
Quality:New Original

Item received in good condition
Delivery On Time"
a*****9,2024-02-08,"Quality:great
Performance:great

Received package in good condition, the device function as expected and I'm very happy with my purchase."
l*****g,2024-03-27,Received item well and pack nicely. The only things that seller can improve is on delivery stage. Item should have posted the next day after purchase but instead it only courier after 3 days
s*****_,2023-04-05,"Performance:nice
Quality:nice

safely arrive , the colour is so nice i like it hehee"
wanshabila,2022-12-27,"Performance:satisfied
Quality:great ❤️

Safely arrived. The colour is really beautiful. Love it."
s*****n,2023-08-27,"Highly secured packaging. As for the product itself, I mainly use it for note taking and it has served me well."
anisaqilahabdrahman,2023-05-11,"Quality:good
Performance:good

OMG IM SO BERPUAS HATI. PENGHANTARAN LAJUUUUU. Cuma ship out je lambat sikit tp overall sgt berpuas hati."
j*****9,2023-12-27,"Quality:good
Performance:good

Item received well packed and in good condition. Fast delivery. Value for money. Recommended seller."
shahzisa,2023-09-15,Courier laju tapi store lambat pos..2 3 hri gak bru pos
k*****8,2024-01-02,Product received in good condition. Packaging is good and the delivery was fast. So far I’m enjoying the iPad.
f*****b,2023-08-15,superb quality securely packed with bubble wraps & come in a box fast delivery 💞 Thank you !
s*****h,2023-05-03,"Quality:tip top
Performance:excellent

Delivery kinda fast just took 3 days to arrive at sabah. Everything perfect 🤩"
m*****z,2024-03-18,"Performance:good.
Quality:good.

parcel dibungkus dengan kemas. beli masa offer dpat rm1650 je terbaik"
thegoldencollection,2024-02-08,Delivery took about 5 days but the wait is totally worth it🥹.
dianwong87,2024-01-30,"Quality:good

Good packaging. Fast delivery by DHL. Tested and working perfectly"
j*****s,2023-11-01,"Quality:good
Performance:good

Received item in good condition 
Packed well
Recommended seller"
j*****5,2024-03-26,"Quality:Awesome!

Sunday Order and received on Tuesday, delivery very fast !"
